id,dt,accel_x,accel_y,accel_z,accel_angle_x,accel_angle_y,accel_angle_z,angle_x,angle_y,angle_z,phase
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1,0.0,-14404.0,3616.0,6516.0,12.88,62.64,0.0,0.52,2.51,0.0,0
2,0.06599999,-14432.0,3664.0,6568.0,13.01,62.47,0.0,1.04,4.93,0.0,0
3,0.064,-14416.0,3840.0,6556.0,13.63,62.21,0.0,1.6,7.3,-0.03,0
4,0.06599999,-14724.0,3636.0,6176.0,12.83,64.05,0.0,1.87,9.71,-0.11,0
5,0.06599999,-14484.0,3552.0,6504.0,12.61,62.9,0.0,2.46,11.69,-0.04,0
6,0.065,-14484.0,3664.0,6540.0,12.98,62.64,0.0,2.83,13.79,-0.06,0
7,0.06599999,-14456.0,3524.0,6512.0,12.53,62.88,0.0,3.28,15.72,-0.03,0
8,0.065,-14536.0,3632.0,6388.0,12.88,63.18,0.0,3.69,17.59,-0.03,0
9,0.06599999,-14404.0,3572.0,6476.0,12.74,62.82,0.0,4.03,19.45,-0.05,0
10,0.065,-14484.0,3688.0,6540.0,13.07,62.6,0.0,4.39,21.22,-0.07,0
11,0.067,-14564.0,3596.0,6580.0,12.68,62.76,0.0,4.7,22.97,-0.1,0
12,0.028999997,-14540.0,3672.0,6476.0,12.99,62.89,0.0,5.03,24.56,-0.11,0
13,0.029999997,-14508.0,3564.0,6476.0,12.64,63.0,0.0,5.36,26.07,-0.08,0
14,0.029999997,-14492.0,3692.0,6420.0,13.11,62.93,0.0,5.67,27.58,-0.07,0
15,0.029999997,-14480.0,3492.0,6460.0,12.42,63.11,0.0,5.9,29.09,-0.12,0
16,0.028999997,-14448.0,3596.0,6336.0,12.84,63.24,0.0,6.18,30.42,-0.15,0
17,0.031,-14380.0,3568.0,6384.0,12.78,63.04,0.0,6.45,31.72,-0.17,0
18,0.029999997,-14576.0,3648.0,6656.0,12.83,62.49,0.0,6.68,33.05,-0.18,0
19,0.028999997,-14460.0,3648.0,6496.0,12.96,62.74,0.0,6.94,34.27,-0.18,0
20,0.029999997,-14356.0,3788.0,6756.0,13.43,61.65,0.0,7.16,35.3,-0.18,0
21,0.031,-14456.0,3524.0,6348.0,12.58,63.33,0.0,7.27,36.52,-0.25,0
22,0.028999997,-14544.0,3728.0,6688.0,13.11,62.23,0.0,7.52,37.47,-0.25,0
23,0.031,-14456.0,3672.0,6496.0,13.04,62.7,0.0,7.77,38.47,-0.23,0
24,0.029999997,-14464.0,3624.0,6560.0,12.85,62.61,0.0,7.91,39.71,-0.27,0
25,0.031,-14548.0,3464.0,6144.0,12.37,64.13,0.0,8.02,40.83,-0.28,0
26,0.028999997,-14492.0,3696.0,6260.0,13.18,63.36,0.0,8.35,41.39,-0.21,0
27,0.029999997,-14608.0,3640.0,6672.0,12.77,62.51,0.0,8.53,42.24,-0.23,0
28,0.031,-14492.0,3648.0,6392.0,12.97,63.08,0.0,8.66,43.28,-0.26,0
29,0.028999997,-14436.0,3584.0,6612.0,12.72,62.48,0.0,8.83,44.05,-0.25,0
30,0.031,-14364.0,3492.0,6432.0,12.51,63.0,0.0,9.03,44.75,-0.27,0
31,0.029999997,-14520.0,3772.0,6708.0,13.27,62.08,0.0,9.19,45.37,-0.31,0
32,0.031,-14620.0,3520.0,6332.0,12.46,63.64,0.0,9.15,46.39,-0.46,0
33,0.028999997,-14664.0,3888.0,6184.0,13.73,63.52,0.0,9.46,46.96,-0.38,0
34,0.031,-14348.0,3696.0,6348.0,13.26,62.89,0.0,9.62,47.65,-0.28,0
35,0.029999997,-14340.0,3488.0,5896.0,12.68,64.47,0.0,9.79,48.35,-0.16,0
36,0.029999997,-14432.0,3592.0,6548.0,12.77,62.64,0.0,10.03,48.87,0.0,0
37,0.028999997,-14396.0,3420.0,6800.0,12.12,62.13,0.0,10.1,49.49,0.03,0
38,0.029999997,-14460.0,3608.0,6576.0,12.8,62.58,0.0,10.16,50.12,-0.02,0
39,0.06599999,-14400.0,3484.0,6460.0,12.45,62.99,0.0,10.2,50.56,0.07,0
40,0.06599999,-14600.0,3620.0,5972.0,12.92,64.44,0.0,10.26,51.51,0.13,0
41,0.065,-14488.0,3528.0,6596.0,12.5,62.69,0.0,10.17,52.5,0.32,0
42,0.06599999,-14660.0,3616.0,6588.0,12.68,62.86,0.0,10.32,53.25,0.1,0
43,0.065,-14156.0,3556.0,6356.0,12.91,62.77,0.0,10.34,53.22,0.09,0
44,0.067,-14440.0,3504.0,5892.0,12.66,64.6,0.0,10.21,54.13,-0.14,0
45,0.06599999,-14508.0,3356.0,6512.0,11.92,63.21,0.0,10.07,55.25,-0.44,0
46,0.06599999,-14696.0,3612.0,6660.0,12.62,62.73,0.0,10.28,55.45,-0.43,0
47,0.06599999,-14364.0,3316.0,6308.0,11.93,63.61,0.0,10.56,55.21,-0.18,0
48,0.06599999,-14288.0,3472.0,6016.0,12.62,64.07,0.0,10.76,55.19,0.01,0
49,0.029999997,-14444.0,3740.0,6384.0,13.32,62.88,0.0,10.84,55.52,0.03,0
50,0.029999997,-14800.0,3696.0,5640.0,13.14,65.51,0.0,10.94,55.95,-0.04,0
51,0.029999997,-14992.0,3404.0,6132.0,11.87,64.93,0.0,11.03,56.18,-0.01,0
52,0.031,-14516.0,3664.0,5772.0,13.2,64.78,0.0,11.09,56.62,-0.07,0
53,0.029999997,-14988.0,3616.0,6180.0,12.57,64.47,0.0,11.15,57.23,-0.07,0
