id,dt,accel_x,accel_y,accel_z,accel_angle_x,accel_angle_y,accel_angle_z,angle_x,angle_y,angle_z
0,0.001,-0.05,-0.03,0.13,-10.42,-12.18,0.0,-0.42,-0.49,0.0
1,0.019,-0.07,0.0,-0.08,-10.47,-12.31,0.0,-0.83,-0.95,0.01
2,0.027,-0.04,0.01,-0.18,-10.55,-12.59,0.0,-1.23,-1.39,0.02
3,0.025999999,-0.01,-0.08,0.01,-10.82,-12.54,0.0,-1.62,-1.85,0.02
4,0.027,-0.09,0.02,0.08,-10.24,-12.04,0.0,-2.01,-2.28,0.04
5,0.025999999,-0.02,0.01,-0.01,-10.38,-12.51,0.0,-2.35,-2.67,0.05
6,0.027,-0.1,0.15,0.06,-9.59,-12.06,0.0,-2.64,-3.01,0.06
7,0.027,-0.03,-0.13,0.05,-11.01,-12.38,0.0,-2.97,-3.36,0.09
8,0.025999999,-0.02,-0.13,-0.06,-11.13,-12.52,0.0,-3.36,-3.72,0.12
9,0.027999999,0.05,-0.02,-0.05,-10.55,-12.9,0.0,-3.65,-4.03,0.13
10,0.027,-0.07,-0.09,0.07,-10.81,-12.16,0.0,-4.0,-4.34,0.14
11,0.025999999,0.04,-0.02,0.03,-10.47,-12.75,0.0,-4.29,-4.67,0.14
12,0.027,0.01,0.04,0.02,-10.18,-12.62,0.0,-4.53,-4.95,0.14
13,0.025,-0.08,0.03,0.03,-10.21,-12.16,0.0,-4.79,-5.25,0.16
14,0.027,-0.03,-0.0,0.01,-10.42,-12.43,0.0,-5.07,-5.62,0.16
15,0.027,-0.04,0.01,0.03,-10.35,-12.36,0.0,-5.31,-5.93,0.17
16,0.025999999,-0.03,0.07,-0.11,-10.13,-12.57,0.0,-5.52,-6.2,0.18
17,0.027,-0.06,0.06,-0.04,-10.16,-12.37,0.0,-5.72,-6.44,0.2
18,0.027999999,-0.09,-0.07,0.04,-10.73,-12.06,0.0,-5.92,-6.66,0.22
19,0.025999999,-0.07,-0.02,0.16,-10.38,-12.07,0.0,-6.1,-6.87,0.23
20,0.027,-0.08,-0.0,-0.09,-10.52,-12.29,0.0,-6.28,-7.09,0.24
21,0.025999999,-0.14,0.01,-0.08,-10.44,-11.96,0.0,-6.47,-7.28,0.27
22,0.027,-0.09,-0.07,-0.17,-10.93,-12.32,0.0,-6.67,-7.5,0.3
23,0.027999999,-0.04,-0.11,-0.22,-11.17,-12.6,0.0,-6.86,-7.7,0.32
24,0.025999999,0.02,-0.22,-0.06,-11.59,-12.7,0.0,-7.02,-7.85,0.32
25,0.027,-0.11,-0.06,-0.01,-10.75,-12.05,0.0,-7.14,-7.98,0.31
26,0.027999999,0.01,-0.01,0.18,-10.27,-12.47,0.0,-7.31,-8.18,0.31
27,0.025999999,-0.05,-0.04,0.03,-10.57,-12.29,0.0,-7.48,-8.36,0.33
28,0.027,-0.08,-0.09,-0.07,-10.96,-12.25,0.0,-7.67,-8.55,0.35
29,0.025999999,-0.06,-0.14,-0.14,-11.24,-12.4,0.0,-7.82,-8.7,0.37
30,0.027999999,-0.03,-0.14,-0.03,-11.17,-12.45,0.0,-7.98,-8.88,0.37
31,0.027,-0.04,0.03,-0.09,-10.34,-12.5,0.0,-8.09,-9.02,0.39
32,0.025999999,-0.13,0.02,-0.11,-10.41,-12.08,0.0,-8.17,-9.14,0.4
33,0.027,-0.11,0.03,-0.19,-10.45,-12.23,0.0,-8.32,-9.28,0.4
34,0.027999999,-0.1,-0.04,-0.29,-10.88,-12.4,0.0,-8.4,-9.39,0.41
35,0.025999999,-0.05,-0.03,-0.01,-10.58,-12.35,0.0,-8.52,-9.52,0.41
36,0.027,-0.11,-0.03,-0.02,-10.58,-12.05,0.0,-8.59,-9.59,0.43
