id,dt,accel_x,accel_y,accel_z,accel_angle_x,accel_angle_y,accel_angle_z,angle_x,angle_y,angle_z
0,0.0,-12545.74,6380.59,8816.0,21.22,50.23,0.0,22.25,48.52,75.61
1,0.029999997,-12557.74,6428.59,8900.0,22.67,48.85,0.0,22.27,48.51,75.62
2,0.031,-12421.74,6400.59,8936.0,22.7,48.5,0.0,22.26,48.5,75.63
3,0.028999997,-12361.74,6440.59,8952.0,22.88,48.27,0.0,22.26,48.52,75.59
4,0.031,-12485.73,6312.59,8964.0,22.33,48.72,0.0,22.22,48.56,75.56
5,0.029999997,-12549.73,6316.6,9112.0,22.16,48.55,0.0,22.21,48.59,75.52
6,0.029999997,-12497.72,6436.6,8984.0,22.7,48.52,0.0,22.2,48.6,75.5
7,0.029999997,-12445.72,6368.6,8936.0,22.58,48.61,0.0,22.15,48.63,75.48
8,0.029999997,-12601.71,6320.61,8840.0,22.33,49.24,0.0,22.11,48.69,75.45
9,0.031,-12533.71,6392.61,8952.0,22.54,48.74,0.0,22.11,48.68,75.44
10,0.028999997,-12597.72,6268.61,9036.0,22.02,48.89,0.0,22.13,48.64,75.47
11,0.031,-12565.72,6340.6,8848.0,22.42,49.11,0.0,22.16,48.63,75.5
12,0.029999997,-12433.73,6260.6,9048.0,22.16,48.5,0.0,22.2,48.6,75.51
13,0.031,-12513.73,6308.59,8936.0,22.31,48.85,0.0,22.25,48.57,75.55
14,0.028999997,-12429.74,6264.58,8920.0,22.27,48.76,0.0,22.32,48.51,75.62
15,0.031,-12401.75,6388.57,9080.0,22.57,48.17,0.0,22.39,48.42,75.7
16,0.029999997,-12445.76,6284.56,9000.0,22.26,48.6,0.0,22.47,48.34,75.79
17,0.028999997,-12409.78,6436.55,9176.0,22.64,47.92,0.0,22.55,48.23,75.86
18,0.031,-12313.79,6468.54,9152.0,22.87,47.7,0.0,22.56,48.16,75.91
19,0.029999997,-12305.79,6500.55,9056.0,23.05,47.84,0.0,22.53,48.2,75.85
20,0.029999997,-12425.77,6484.56,9020.0,22.9,48.21,0.0,22.46,48.28,75.75
21,0.029999997,-12465.77,6456.56,9168.0,22.65,48.04,0.0,22.45,48.3,75.72
22,0.031,-12537.77,6452.55,9012.0,22.68,48.53,0.0,22.49,48.28,75.75
23,0.029999997,-12393.78,6472.54,8948.0,22.95,48.31,0.0,22.57,48.22,75.79
24,0.029999997,-12417.79,6496.53,9228.0,22.78,47.74,0.0,22.64,48.15,75.85
25,0.029999997,-12397.8,6480.52,8864.0,23.04,48.48,0.0,22.69,48.12,75.89
26,0.031,-12413.8,6528.52,8984.0,23.08,48.19,0.0,22.75,48.12,75.88
27,0.028999997,-12545.79,6528.52,8972.0,22.95,48.52,0.0,22.76,48.14,75.87
28,0.029999997,-12393.8,6512.52,9076.0,22.98,47.98,0.0,22.75,48.13,75.87
29,0.031,-12253.79,6432.51,9104.0,22.85,47.72,0.0,22.77,48.14,75.84
30,0.029999997,-12337.79,6516.52,8976.0,23.13,48.05,0.0,22.76,48.14,75.82
31,0.029999997,-12417.79,6464.52,9008.0,22.85,48.25,0.0,22.7,48.14,75.82
32,0.029999997,-12533.79,6520.52,9068.0,22.86,48.3,0.0,22.72,48.16,75.81
